Year,CountyName,Population,Municipal,Manufactoring,Mining,SteamElectric,Irrigation,LiveStock,Muni_GW,Muni_SW,MFG_Gw,MFG_SW,Mining_GW,Mining_SW,Power_GW,Power_SW,Irrig_GW,Irrig_SW,Livestock_GW,Livestock_SW
2000,ANDERSON,"55,109","13,255",340,0,0,192,"1,708","9,625","3,630",340,0,0,0,0,0,96,96,683,"1,025"
2000,ANDREWS,"13,004","3,482","1,014",3,0,"18,482",319,"3,482",0,"1,014",0,3,0,0,0,"18,482",0,255,64
2000,ANGELINA,"80,130","12,648","27,024",0,0,30,578,"12,648",0,"15,467","11,557",0,0,0,0,30,0,231,347
2000,ARANSAS,"22,497","4,116",200,0,0,0,23,517,"3,599",71,129,0,0,0,0,0,0,2,21
2000,ARCHER,"8,855","1,241",0,0,0,"1,971","5,113",76,"1,165",0,0,0,0,0,0,0,"1,971",258,"4,855"
2000,ARMSTRONG,"2,148",408,0,0,0,"11,818",604,408,0,0,0,0,0,0,0,"11,818",0,483,121
2000,ATASCOSA,"38,628","6,356",140,0,"7,379","35,053","1,745","6,244",112,140,0,0,0,"7,379",0,"35,053",0,174,"1,571"
2000,AUSTIN,"23,590","3,293",127,0,0,"10,617","1,614","3,293",0,127,0,0,0,0,0,"9,070","1,547",161,"1,453"
2000,BAILEY,"6,594","1,259",264,0,0,"182,865","2,004","1,259",0,264,0,0,0,0,0,"182,865",0,"1,603",401
2000,BANDERA,"17,645","2,458",0,0,0,603,315,"2,358",101,0,0,0,0,0,0,325,278,252,63
2000,BASTROP,"57,733","8,690",71,0,"2,814","1,846","1,522","8,689",1,56,15,0,0,0,"2,814",904,942,609,913
2000,BAYLOR,"4,093",821,0,0,0,736,998,816,5,0,0,0,0,0,0,732,4,99,899
2000,BEE,"32,359","5,236",0,0,0,"2,798",996,"2,713","2,523",0,0,0,0,0,0,"2,798",0,100,896
2000,BELL,"237,974","44,684",429,287,0,"1,679",953,"2,471","42,213",0,429,258,30,0,0,558,"1,121",95,858
2000,BEXAR,"1,392,931","240,247","13,110","9,330","26,371","15,865","1,191","236,307","3,940","12,813",297,"7,984","1,346","2,314","24,057","9,548","6,317",119,"1,072"
2000,BLANCO,"8,418","1,301",1,1,0,73,443,982,320,0,1,1,0,0,0,31,42,354,89
2000,BORDEN,729,185,0,77,0,"1,879",260,182,3,0,0,77,0,0,0,"1,879",0,26,234
2000,BOSQUE,"17,204","2,779",794,0,0,"2,543","1,048","2,777",2,794,0,0,0,0,0,73,"2,470",524,524
2000,BOWIE,"89,306","13,205","1,897",0,0,"2,204","1,439","1,940","11,265",3,"1,894",0,0,0,0,0,"2,204",576,863
2000,BRAZORIA,"241,767","35,315","134,778",663,0,"98,754","1,613","25,185","10,131","1,464","133,315",3,660,0,0,"7,022","91,732",968,645
2000,BRAZOS,"152,415","30,484",137,78,"1,185","6,918","1,032","30,264",221,137,0,78,0,844,341,"5,660","1,258",413,619
2000,BREWSTER,"8,866","2,268",3,0,0,621,707,"2,172",96,3,0,0,0,0,0,430,191,672,35
2000,BRISCOE,"1,790",315,0,0,0,"26,329",310,203,111,0,0,0,0,0,0,"26,329",0,248,62
2000,BROOKS,"7,976","1,965",0,0,0,25,747,"1,965",0,0,0,0,0,0,0,25,0,75,672
2000,BROWN,"37,674","6,974",463,"2,274",0,"10,112","1,471",281,"6,693",0,463,0,"2,274",0,0,"2,320","7,792",147,"1,324"
2000,BURLESON,"16,470","2,716",150,0,0,"18,239","1,422","2,716",0,150,0,0,0,0,0,"14,845","3,394",569,853
2000,BURNET,"34,147","5,698",723,647,0,103,"5,216","1,990","3,709",3,720,647,0,0,0,78,25,419,"4,797"
2000,CALDWELL,"32,194","5,048",10,0,0,989,917,"3,964","1,085",10,0,0,0,0,0,137,852,91,826
2000,CALHOUN,"20,647","2,723","40,238","2,140",62,"8,077",344,395,"2,328",3,"40,235","1,322",818,62,0,0,"8,077",206,138
2000,CALLAHAN,"12,905","1,252",0,0,0,819,976,387,865,0,0,0,0,0,0,600,219,98,878
2000,CAMERON,"335,227","63,296",996,0,"1,905","149,124",339,"1,487","61,809",69,927,0,0,163,"1,742","6,673","142,451",31,308
2000,CAMP,"11,549","1,486",37,0,0,0,930,983,502,10,27,0,0,0,0,0,0,372,558
2000,CARSON,"6,516","1,334",494,59,0,"79,045","1,419","1,324",10,494,0,59,0,0,0,"79,045",0,"1,135",284
2000,CASS,"30,438","2,968","118,718",0,0,6,834,"1,008","1,961",321,"118,398",0,0,0,0,0,6,334,500
2000,CASTRO,"8,285","1,601","1,732",0,0,"503,792","8,790","1,601",0,"1,732",0,0,0,0,0,"503,792",0,"7,054","1,736"
2000,CHAMBERS,"26,030","3,769","16,262","2,650",795,"36,857",462,"1,567","2,203","1,413","14,849",911,"1,739",51,744,0,"36,857",277,185
2000,CHEROKEE,"46,659","8,563",613,0,"2,503",181,"1,765","6,796","1,767",161,452,0,0,132,"2,371",32,149,706,"1,059"
2000,CHILDRESS,"7,688",848,0,0,0,"7,890",280,111,737,0,0,0,0,0,0,"7,890",0,28,252
2000,CLAY,"11,006","1,833",0,0,0,"1,993","1,935",685,"1,147",0,0,0,0,0,0,"1,842",151,193,"1,742"
2000,COCHRAN,"3,730",802,0,0,0,"119,985",176,802,0,0,0,0,0,0,0,"119,985",0,141,35
2000,COKE,"3,864",823,0,112,347,937,374,117,706,0,0,0,112,0,347,803,134,37,337
2000,COLEMAN,"9,235","1,750",5,0,0,0,"1,139",17,"1,733",0,5,0,0,0,0,0,0,114,"1,025"
2000,COLLIN,"491,675","117,610","1,441",234,"1,815","2,995",884,"3,870","113,739",138,"1,303",0,234,570,"1,245","1,718","1,277",88,796
2000,COLLINGSWORTH,"3,206",742,0,0,0,"24,503",653,736,6,0,0,0,0,0,0,"24,437",66,65,588
2000,COLORADO,"20,390","3,354","1,417","18,234",0,"138,505","1,473","3,354",0,"1,417",0,"1,469","16,765",0,0,"20,616","117,889",884,589
2000,COMAL,"78,021","14,943","1,037","11,767",0,50,297,"7,320","7,623",750,287,"11,767",0,0,0,30,20,238,59
2000,COMANCHE,"14,026","1,493",26,0,0,"35,969","4,254",610,883,2,24,0,0,0,0,"13,515","22,454",851,"3,403"
2000,CONCHO,"3,966",642,0,0,0,"2,574",541,573,69,0,0,0,0,0,0,"2,408",166,433,108
2000,COOKE,"36,363","5,323",224,0,0,0,"1,762","5,323",0,224,0,0,0,0,0,0,0,881,881
2000,CORYELL,"74,978","12,250",0,0,0,0,"1,340",827,"11,423",0,0,0,0,0,0,0,0,670,670
2000,COTTLE,"1,904",479,0,0,0,"4,201",499,470,10,0,0,0,0,0,0,"4,201",0,50,449
2000,CRANE,"3,996","1,270",569,1,0,0,144,"1,270",0,569,0,1,0,0,0,0,0,137,7
2000,CROCKETT,"4,099","1,550",14,31,938,160,767,"1,550",0,14,0,31,0,938,0,160,0,614,153
2000,CROSBY,"7,072","1,095",5,599,0,"112,135",244,441,654,5,0,182,416,0,0,"111,713",422,195,49
2000,CULBERSON,"2,975",559,0,0,0,"24,765",344,559,0,0,0,0,0,0,0,"24,765",0,327,17
2000,DALLAM,"6,222","1,869",0,0,0,"458,870","4,316","1,869",0,0,0,0,0,0,0,"458,870",0,"3,575",741
2000,DALLAS,"2,218,899","501,756","27,636",140,"10,407","13,087",481,"6,137","495,619",754,"26,882",0,140,154,"10,253",330,"12,757",48,433
2000,DAWSON,"14,985","3,185",69,32,0,"146,039",124,"1,323","1,862",0,69,32,0,0,0,"146,039",0,100,24
2000,DEAF SMITH,"18,561","4,079","1,235",0,0,"372,827","2,828","4,079",0,"1,235",0,0,0,0,0,"372,827",0,"2,350",478
2000,DELTA,"5,327",848,0,0,0,585,"11,903",223,625,0,0,0,0,0,0,0,585,"1,190","10,713"
2000,DENTON,"432,976","92,904",797,0,19,"2,108",630,"11,252","81,653",43,754,0,0,0,19,"2,108",0,315,315
2000,DEWITT,"20,014","2,986",210,0,0,102,"1,018","2,939",48,210,0,0,0,0,0,102,0,102,916
2000,DICKENS,"2,762",592,0,0,0,"9,486",483,201,391,0,0,0,0,0,0,"9,090",396,48,435
