Year,CountyName,Population,Municipal,Manufactoring,Mining,SteamElectric,Irrigation,LiveStock,Muni_GW,Muni_SW,MFG_Gw,MFG_SW,Mining_GW,Mining_SW,Power_GW,Power_SW,Irrig_GW,Irrig_SW,Livestock_GW,Livestock_SW
2000,DIMMIT,"10,248","2,530",0,2,0,"6,750",553,"2,530",0,0,0,2,0,0,0,"3,793","2,957",442,111
2000,DONLEY,"3,828",691,0,0,0,"23,873","1,361",220,471,0,0,0,0,0,0,"23,873",0,136,"1,225"
2000,DUVAL,"13,120","2,344",0,"4,212",0,"4,524",873,"2,344",0,0,0,"4,212",0,0,0,"4,524",0,88,785
2000,EASTLAND,"18,297","3,122",36,0,0,"16,274","1,120",367,"2,755",1,35,0,0,0,0,"12,135","4,139",112,"1,008"
2000,ECTOR,"121,123","24,647","3,467",231,0,"2,694",202,"1,820","22,826","2,553",914,218,13,0,0,"2,694",0,192,10
2000,EDWARDS,"2,162",369,0,0,0,160,562,369,0,0,0,0,0,0,0,160,0,450,112
2000,EL PASO,"679,622","128,165","6,350",0,"3,364","231,005","2,145","93,464","34,702","6,314",36,0,0,"3,364",0,480,"230,525","2,038",107
2000,ELLIS,"111,360","21,589","2,571",15,0,583,780,"6,143","15,446","1,539","1,032",0,15,0,0,58,525,78,702
2000,ERATH,"33,001","4,918",51,0,0,"10,816","9,320","4,339",579,43,9,0,0,0,0,"10,261",555,"4,660","4,660"
2000,FALLS,"18,576","4,392",2,0,0,"1,928","1,627",911,"3,481",0,2,0,0,0,0,"1,727",201,163,"1,464"
2000,FANNIN,"31,243","4,558",58,75,"3,697","4,608","1,268","2,800","1,758",0,58,0,75,503,"3,194","1,158","3,450",125,"1,143"
2000,FAYETTE,"21,804","3,150",114,3,"3,145",789,"2,394","3,150",0,114,0,3,0,0,"3,145",559,230,239,"2,155"
2000,FISHER,"4,344",795,167,0,0,"2,459",584,217,578,158,9,0,0,0,0,"2,446",13,58,526
2000,FLOYD,"7,771","1,167",0,0,0,"237,020","1,365",705,462,0,0,0,0,0,0,"236,950",70,"1,092",273
2000,FOARD,"1,622",357,0,0,0,"3,889",279,41,317,0,0,0,0,0,0,"3,889",0,28,251
2000,FORT BEND,"354,452","65,079","6,506","3,175","36,252","48,887","1,171","64,249",830,"6,074",432,527,"2,648","2,743","33,509","24,268","24,619",703,468
2000,FRANKLIN,"9,457","1,549",127,0,0,0,"1,122",71,"1,477",126,1,0,0,0,0,0,0,449,673
2000,FREESTONE,"17,867","3,102",0,47,"10,480",8,"1,528","2,930",173,0,0,7,40,91,"10,390",0,8,611,917
2000,FRIO,"16,252","3,169",0,0,327,"117,098","1,209","3,169",0,0,0,0,0,327,0,"116,538",560,121,"1,088"
2000,GAINES,"14,467","3,237",67,"1,436",0,"414,772",786,"3,237",0,67,0,"1,436",0,0,0,"414,772",0,629,157
2000,GALVESTON,"250,158","46,891","26,891",851,"1,427","4,806",324,"8,246","38,644",186,"26,706",0,851,4,"1,423",0,"4,806",195,129
2000,GARZA,"4,872",779,2,0,0,"12,165",319,127,652,0,2,0,0,0,0,"12,105",60,32,287
2000,GILLESPIE,"20,814","3,707",439,0,0,"2,065","1,062","3,707",0,313,126,0,0,0,0,"1,964",101,531,531
2000,GLASSCOCK,"1,406",159,0,0,0,"35,456",198,159,0,0,0,0,0,0,0,"35,456",0,158,40
2000,GOLIAD,"6,928",799,0,0,"2,011",359,920,799,0,0,0,0,0,156,"1,855",147,212,92,828
2000,GONZALES,"18,628","3,948","1,426",626,0,"2,438","4,472","1,983","1,965","1,319",106,313,313,0,0,"1,860",578,446,"4,026"
2000,GRAY,"22,744","4,424","4,271",0,0,"20,525","1,402","1,184","3,240","4,265",5,0,0,0,0,"20,525",0,140,"1,262"
2000,GRAYSON,"110,595","20,081","5,735",0,0,"3,382","1,297","10,602","9,479","3,030","2,704",0,0,0,0,"2,972",410,130,"1,167"
2000,GREGG,"111,379","25,501","1,917",114,414,0,239,"2,851","22,649",182,"1,736",0,114,42,371,0,0,95,144
2000,GRIMES,"23,553","3,236",185,0,"12,883",241,"1,554","3,236",0,185,0,0,0,2,"12,881",185,56,622,932
2000,GUADALUPE,"89,023","14,271","2,069",30,0,875,"1,057","6,848","7,423",188,"1,881",30,0,0,0,321,554,106,951
2000,HALE,"36,602","6,083","2,606",0,0,"367,700","2,546","3,970","2,113","2,606",0,0,0,0,0,"367,700",0,"2,037",509
2000,HALL,"3,782",835,0,0,0,"15,977",334,641,194,0,0,0,0,0,0,"15,977",0,33,301
2000,HAMILTON,"8,229","1,365",4,0,0,483,"1,961",702,664,4,0,0,0,0,0,62,421,196,"1,765"
2000,HANSFORD,"5,369","1,305",187,0,0,"216,288","4,567","1,305",0,187,0,0,0,0,0,"216,288",0,"2,103","2,464"
2000,HARDEMAN,"4,724",958,391,4,949,"5,330",480,174,784,0,391,0,4,0,949,"5,330",0,192,288
2000,HARDIN,"48,073","5,676",119,6,0,"3,502",155,"5,676",0,119,0,6,0,0,0,"3,502",0,15,140
2000,HARRIS,"3,400,578","717,781","333,885","5,111","8,990","8,468","1,132","312,347","405,434","16,304","317,582","1,395","3,716","6,167","2,824","6,329","2,139",905,227
2000,HARRISON,"62,110","10,068","16,646",219,"24,336",106,875,"3,975","6,094",180,"16,467",4,215,0,"24,336",39,67,87,788
2000,HARTLEY,"5,537","1,568",0,0,0,"358,174","4,255","1,568",0,0,0,0,0,0,0,"358,174",0,"2,553","1,702"
2000,HASKELL,"6,093","1,073",0,0,554,"50,820",491,267,806,0,0,0,0,0,554,"50,820",0,98,393
2000,HAYS,"97,589","14,507",240,443,0,174,"3,802","9,963","4,544",240,0,443,0,0,0,10,164,173,"3,629"
2000,HEMPHILL,"3,351",583,1,0,0,"3,373","1,480",583,0,1,0,0,0,0,0,"3,373",0,592,888
2000,HENDERSON,"73,277","11,479",994,3,477,0,"1,551","4,983","6,496",769,225,3,0,0,477,0,0,931,620
2000,HIDALGO,"569,463","80,799","2,223","1,273","1,887","375,632",681,"4,756","76,044",38,"2,186",743,531,"1,780",107,"4,458","371,174",273,408
2000,HILL,"32,321","6,546",50,0,0,43,"1,401","3,371","3,175",4,46,0,0,0,0,43,0,140,"1,261"
2000,HOCKLEY,"22,716","3,557",449,0,0,"174,996",579,"1,831","1,726",407,43,0,0,0,0,"174,446",550,463,116
2000,HOOD,"41,100","5,504",20,0,"3,931","3,240",622,"3,362","2,142",20,0,0,0,47,"3,884",10,"3,230",311,311
2000,HOPKINS,"31,959","6,285",640,69,0,50,"4,856","1,956","4,329",0,640,67,2,0,0,0,50,"1,942","2,914"
2000,HOUSTON,"23,185","3,118",134,4,0,"2,479","1,951","2,210",909,6,128,0,4,0,0,608,"1,871",780,"1,171"
2000,HOWARD,"33,627","7,117","1,817",0,"1,280","4,853",312,"6,711",406,513,"1,305",0,0,0,"1,280","4,834",19,250,62
2000,HUDSPETH,"3,344",379,1,2,0,"263,886",614,379,0,1,0,2,0,0,0,"222,023","41,863",583,31
2000,HUNT,"76,595","12,644",361,0,498,"1,938","1,120","2,051","10,594",76,285,0,0,0,498,197,"1,741",112,"1,008"
2000,HUTCHINSON,"23,857","4,101","32,811",34,0,"58,766",548,"3,149",952,"30,097","2,714",34,0,0,0,"58,766",0,55,493
2000,IRION,"1,771",182,1,0,0,"2,105",318,182,0,1,0,0,0,0,0,987,"1,118",254,64
2000,JACK,"8,763",782,2,0,0,0,"1,026",60,721,0,2,0,0,0,0,0,0,103,923
2000,JACKSON,"14,391","1,889",561,0,0,"44,356",852,"1,889",0,43,518,0,0,0,0,"44,236",120,511,341
2000,JASPER,"35,604","4,998","58,917",0,0,0,761,"4,998",0,"47,043","11,874",0,0,0,0,0,0,129,632
2000,JEFF DAVIS,"2,207",550,0,0,0,169,507,540,10,0,0,0,0,0,0,169,0,482,25
2000,JEFFERSON,"252,051","47,824","178,367","1,081",0,"57,954",807,"10,447","37,377",97,"178,270",132,948,0,0,0,"57,954",484,323
2000,JIM HOGG,"5,281",922,0,0,0,817,517,922,0,0,0,0,0,0,0,817,0,51,466
2000,JIM WELLS,"39,326","8,388",113,0,0,"3,731","1,064","2,489","5,899",113,0,0,0,0,0,"3,645",86,106,958
2000,JOHNSON,"126,811","18,659","1,802",0,459,0,"2,118","8,173","10,485",635,"1,167",0,0,0,459,0,0,"1,059","1,059"
2000,JONES,"20,785","2,385",0,0,332,"4,381",787,145,"2,240",0,0,0,0,0,332,"2,588","1,793",79,708
2000,KARNES,"15,446","2,309",107,9,0,"1,916","1,183","2,309",0,107,0,9,0,0,0,356,"1,560",117,"1,066"
2000,KAUFMAN,"71,313","10,111",711,0,0,"2,916","1,545",312,"9,799",0,711,0,0,0,0,0,"2,916",155,"1,390"
2000,KENDALL,"23,742","3,573",0,0,0,396,446,"2,804",768,0,0,0,0,0,0,286,110,357,89
2000,KENEDY,414,133,0,0,0,107,901,133,0,0,0,0,0,0,0,107,0,90,811
2000,KENT,859,503,0,1,0,0,459,503,0,0,0,1,0,0,0,0,0,46,413
2000,KERR,"43,653","7,434",25,0,0,"1,880",745,"3,851","3,583",25,0,0,0,0,0,107,"1,773",389,356
2000,KIMBLE,"4,468",989,581,0,0,637,471,209,780,2,580,0,0,0,0,48,589,377,94
2000,KING,356,227,0,0,0,241,386,227,0,0,0,0,0,0,0,241,0,38,348
2000,KINNEY,"3,379","1,225",0,0,0,"14,112",445,"1,225",0,0,0,0,0,0,0,"14,112",0,356,89
2000,KLEBERG,"31,549","5,753","2,118",3,0,"1,002","1,900","4,898",855,"2,118",0,3,0,0,0,997,5,190,"1,710"
2000,KNOX,"4,253",815,0,0,0,"43,124","1,040",160,656,0,0,0,0,0,0,"43,001",123,104,936
2000,LA SALLE,"5,866","1,565",0,0,0,"4,003",704,"1,565",0,0,0,0,0,0,0,"4,003",0,70,634
2000,LAMAR,"48,499","8,889","4,530",0,"1,135","5,768",830,158,"8,731",0,"4,530",0,0,0,"1,135",43,"5,725",83,747
2000,LAMB,"14,709","3,383",427,0,"14,553","377,893","2,072","3,383",0,427,0,0,0,"14,553",0,"377,893",0,"1,658",414
2000,LAMPASAS,"17,762","4,058",108,0,0,170,"2,096",341,"3,718",0,108,0,0,0,0,1,169,"1,048","1,048"
2000,LAVACA,"19,210","2,995",331,0,0,"5,532","2,061","2,992",3,331,0,0,0,0,0,"5,532",0,207,"1,854"
2000,LEE,"15,657","2,721",11,0,0,965,"1,547","2,721",0,11,0,0,0,0,0,495,470,619,928
2000,LEON,"15,335","2,406",545,412,0,542,"1,690","2,406",0,545,0,164,248,0,0,542,0,"1,014",676
2000,LIBERTY,"70,154","9,461",296,0,0,"28,162",757,"9,461",0,296,0,0,0,0,0,"3,306","24,856",454,303
2000,LIMESTONE,"22,051","3,468",40,645,"19,351",0,"1,485","2,474",994,33,6,645,0,"1,014","18,337",0,0,148,"1,337"
2000,LIPSCOMB,"3,057",911,76,0,0,"36,005",730,911,0,76,0,0,0,0,0,"36,005",0,73,657
2000,LIVE OAK,"12,309","2,159","1,768",3,0,"3,539",832,"1,707",452,809,958,3,0,0,0,"2,649",890,416,416
2000,LLANO,"17,044","3,845",2,0,"4,106",995,752,575,"3,270",2,0,0,0,0,"4,106",795,200,714,38
2000,LOVING,67,7,0,0,0,358,40,7,0,0,0,0,0,0,0,0,358,32,8
2000,LUBBOCK,"242,628","47,723","1,292",0,"1,389","242,978",761,"12,586","35,137",715,578,0,0,2,"1,387","235,372","7,606",609,152
2000,LYNN,"6,550",965,0,0,0,"120,372",156,441,524,0,0,0,0,0,0,"112,954","7,418",125,31
2000,MADISON,"12,940","2,261",205,0,0,0,870,"2,261",0,205,0,0,0,0,0,0,0,348,522
2000,MARION,"10,941","1,494",72,0,"2,917",68,"1,085",871,623,16,56,0,0,99,"2,818",0,68,434,651
2000,MARTIN,"4,746",385,0,41,0,"14,575",680,107,278,0,0,41,0,0,0,"14,575",0,544,136
2000,MASON,"3,738",811,0,0,0,"10,223",700,811,0,0,0,0,0,0,0,"10,223",0,350,350
2000,MATAGORDA,"37,957","5,420","4,975","5,441","67,291","157,886","1,571","5,420",0,"1,718","3,256",991,"4,450","1,343","65,948","17,283","140,603",943,628
2000,MAVERICK,"47,297","7,965",56,0,0,"88,603",508,60,"7,905",0,56,0,0,0,0,0,"88,603",51,457
2000,MCCULLOCH,"8,205","2,504",43,637,0,"2,859",935,"2,501",3,43,0,637,0,0,0,"2,790",69,748,187
2000,MCLENNAN,"213,517","41,531","2,708",999,"1,077","2,819",619,"13,599","27,931",728,"1,979",3,996,173,904,396,"2,423",62,557
2000,MCMULLEN,851,212,0,221,0,0,249,212,0,0,0,221,0,0,0,0,0,25,224
2000,MEDINA,"39,304","8,909",59,0,0,"56,422","1,298","8,909",0,59,0,0,0,0,0,"43,669","12,753",130,"1,168"
2000,MENARD,"2,360",360,0,0,0,"3,143",419,360,0,0,0,0,0,0,0,370,"2,773",335,84
2000,MIDLAND,"116,009","31,131",195,6,0,"30,483",395,"6,598","24,533",186,10,6,0,0,0,"24,496","5,987",316,79
2000,MILAM,"24,238","5,080","46,416",0,0,"2,392","1,780","3,164","1,916","31,968","14,447",0,0,0,0,779,"1,613",712,"1,068"
2000,MILLS,"5,151",930,1,0,0,"3,001",918,393,537,0,1,0,0,0,0,38,"2,963",459,459
2000,MITCHELL,"9,698","1,189",0,0,65,"5,564",443,917,273,0,0,0,0,0,65,"5,549",15,44,399
2000,MONTAGUE,"19,117","2,673",6,0,0,60,"1,501","1,212","1,460",0,6,0,0,0,0,60,0,150,"1,351"
2000,MONTGOMERY,"293,768","51,480","1,901",161,"5,088",66,510,"51,480",0,"1,901",0,161,0,812,"4,275",66,0,204,306
2000,MOORE,"20,121","5,081","6,951",26,396,"291,620","4,903","5,081",0,"6,951",0,26,0,396,0,"291,620",0,"3,922",981
2000,MORRIS,"13,048","1,723","53,402",0,"16,775",0,485,782,940,75,"53,327",0,0,0,"16,775",0,0,194,291
2000,MOTLEY,"1,426",377,0,0,0,"9,168",407,352,25,0,0,0,0,0,0,"9,159",9,41,366
2000,NACOGDOCHES,"59,203","11,979","1,769",0,0,302,"1,517","6,943","5,036","1,630",139,0,0,0,0,186,116,607,910
2000,NAVARRO,"45,124","8,333",325,459,0,0,"1,543",255,"8,078",0,325,1,458,0,0,0,0,154,"1,389"
2000,NEWTON,"15,072","2,081",551,0,0,367,110,"2,081",0,315,236,0,0,0,0,275,92,44,66
2000,NOLAN,"15,802","3,511",643,0,0,"5,276",464,874,"2,637",70,573,0,0,0,0,"4,894",382,46,418
2000,NUECES,"313,644","59,921","40,491","1,341","3,571","1,680",278,714,"59,207",973,"39,518",0,"1,341",0,"3,571",23,"1,657",111,167
2000,OCHILTREE,"9,006","2,241",0,42,0,"97,939","2,784","2,241",0,0,0,42,0,0,0,"97,939",0,278,"2,506"
2000,OLDHAM,"2,185",717,0,53,0,"3,161","1,388",717,0,0,0,53,0,0,0,"3,161",0,139,"1,249"
2000,ORANGE,"84,966","12,762","48,672",0,"6,923","1,678",210,"12,675",88,"3,510","45,162",0,0,"1,286","5,637",0,"1,678",84,126
2000,PALO PINTO,"27,026","5,091",18,0,312,947,"1,706",261,"4,830",4,14,0,0,0,312,110,837,92,"1,614"
2000,PANOLA,"22,756","4,285","1,574",8,0,0,"3,096","2,239","2,047",21,"1,553",8,0,0,0,0,0,"1,238","1,858"
2000,PARKER,"88,495","11,428",203,403,"4,568",422,"1,855","5,277","6,151",21,182,0,403,0,"4,568",74,348,185,"1,670"
2000,PARMER,"10,016","1,993","2,070",0,0,"415,449","7,705","1,993",0,"2,070",0,0,0,0,0,"415,449",0,"6,480","1,225"
2000,PECOS,"16,809","4,768",353,15,0,"74,236",981,"4,768",0,353,0,15,0,0,0,"72,412","1,824",932,49
2000,POLK,"41,133","6,401",503,0,0,135,337,"4,539","1,862",394,109,0,0,0,0,120,15,135,202
2000,POTTER,"113,546","31,468","5,741",203,"7,308","9,977",573,"14,577","16,891","5,429",310,203,0,"3,646","3,662","3,737","6,240",57,516
2000,PRESIDIO,"7,304","1,704",0,0,0,"17,425",622,"1,704",0,0,0,0,0,0,0,"2,564","14,861",591,31
2000,RAINS,"9,139","1,661",2,0,0,0,675,609,"1,052",0,2,0,0,0,0,0,0,270,405
2000,RANDALL,"104,312","24,574",490,0,0,"21,280","2,582","12,525","12,049",490,0,0,0,0,0,"19,941","1,339","2,066",516
2000,REAGAN,"3,326",899,0,0,0,"15,879",225,899,0,0,0,0,0,0,0,"15,879",0,180,45
2000,REAL,"3,047",737,0,0,0,143,176,434,303,0,0,0,0,0,0,23,120,140,36
2000,RED RIVER,"14,314","1,964",5,0,162,"3,751","1,610","1,127",837,5,0,0,0,1,161,0,"3,751",644,966
2000,REEVES,"13,137","3,621",310,449,0,"74,039",838,"3,301",320,310,0,449,0,0,0,"63,228","10,811",796,42
2000,REFUGIO,"7,828","1,199",0,0,0,850,623,"1,199",0,0,0,0,0,0,0,850,0,62,561
2000,ROBERTS,887,160,0,0,0,"8,838",541,160,0,0,0,0,0,0,0,"8,838",0,54,487
2000,ROBERTSON,"16,000","3,060","4,480",1,0,"16,572","1,508","3,060",0,"4,480",0,1,0,0,0,"14,535","2,037",603,905
2000,ROCKWALL,"43,080","7,359",15,0,0,"1,125",130,109,"7,250",0,15,0,0,0,0,0,"1,125",13,117
2000,RUNNELS,"11,495","1,468",53,0,0,920,936,408,"1,060",0,53,0,0,0,0,480,440,94,842
2000,RUSK,"47,372","8,140",631,38,"16,534",93,"1,156","7,493",647,66,565,38,0,11,"16,523",18,75,462,694
2000,SABINE,"10,469","1,720",293,0,0,0,631,591,"1,129",240,54,0,0,0,0,0,0,252,379
2000,SAN AUGUSTINE,"8,946","1,820",4,0,0,225,936,679,"1,142",3,2,0,0,0,0,112,113,375,561
2000,SAN JACINTO,"22,246","3,303",39,0,0,667,285,"3,219",84,39,0,0,0,0,0,0,667,114,171
2000,SAN PATRICIO,"67,138","11,754","8,972",0,0,"4,565",565,"2,396","9,358",12,"8,961",0,0,0,0,"4,565",0,57,508
2000,SAN SABA,"6,186","1,466",0,24,0,"3,349","1,191","1,332",134,0,0,24,0,0,0,460,"2,889",953,238
2000,SCHLEICHER,"2,935",657,0,18,0,"2,150",547,657,0,0,0,18,0,0,0,"2,150",0,438,109
2000,SCURRY,"16,361","8,176",168,0,0,"2,908",529,579,"7,596",168,0,0,0,0,0,"2,660",248,53,476
2000,SHACKELFORD,"3,302",956,0,1,0,195,760,51,905,0,0,0,1,0,0,104,91,76,684
2000,SHELBY,"25,224","4,385","1,146",0,0,26,"3,482","2,313","2,072",97,"1,050",0,0,0,0,26,0,"1,393","2,089"
2000,SHERMAN,"3,186",795,2,0,0,"393,710","3,496",795,0,2,0,0,0,0,0,"393,710",0,"2,797",699
2000,SMITH,"174,706","41,117","2,941",1,0,774,"1,254","18,201","22,915",825,"2,117",1,0,0,0,208,566,447,807
2000,SOMERVELL,"6,809","1,065",5,258,"56,623",475,166,"1,065",0,5,0,178,80,39,"56,585",0,475,83,83
2000,STARR,"53,597","9,345",5,0,0,"10,366","1,117",887,"8,458",5,0,0,0,0,0,285,"10,081",112,"1,005"
2000,STEPHENS,"9,674","1,505",6,3,0,802,576,72,"1,433",0,6,0,3,0,0,3,799,58,518
2000,STERLING,"1,393",316,0,0,0,637,365,316,0,0,0,0,0,0,0,637,0,292,73
2000,STONEWALL,"1,693",353,0,0,0,347,469,262,90,0,0,0,0,0,0,329,18,47,422
2000,SUTTON,"4,077","1,388",0,0,0,"1,473",550,"1,388",0,0,0,0,0,0,0,"1,473",0,440,110
