GeoFips,GeoName,LineCode,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
48115,"Dawson, TX",10,    Utilities,1459,1434,1494,1522,1525,1466,1395,1391,1567,1762,2301,1725,1916,2117,25129,32256,39373,43389,49201,53692
48115,"Dawson, TX",11,    Construction,7066,7035,7043,6561,7419,12611,8910,11261,15005,13528,16169,16598,16542,17909,15446,11548,9672,8976,9489,9685
48115,"Dawson, TX",12,    Manufacturing,7328,5708,5496,7608,8322,12649,11075,10470,7328,9211,9612,8185,8299,7442,6187,5618,6849,9135,10460,9547
48115,"Dawson, TX",13,      Durable goods manufacturing,(D),(D),4451,(D),(D),(D),(D),(D),6421,8259,8516,6586,5991,5752,5284,5124,6368,7955,8465,7791
48115,"Dawson, TX",25,      Nondurable goods manufacturing,(D),(D),1045,(D),(D),(D),(D),(D),907,952,1096,1600,2309,1690,903,495,481,1180,1995,1756
48115,"Dawson, TX",34,    Wholesale trade,7531,7380,9622,11176,8636,9653,10471,10187,10124,12614,15927,19473,20961,19571,16614,16105,16069,15810,16341,15599
48115,"Dawson, TX",35,    Retail trade,21012,21042,22801,24883,26897,28731,29441,33851,38840,49106,56053,72532,81773,80077,72605,66861,64820,62397,60725,65214
48115,"Dawson, TX",36,    Transportation and warehousing,11348,10610,10712,12561,13787,16264,15712,17938,12500,14847,18448,19820,17823,20012,14898,11283,12665,14368,14014,9824
48115,"Dawson, TX",45,    Information,2463,2720,2991,2544,2549,2558,3408,3600,3100,2831,2427,2679,2905,2680,2255,1521,1547,1749,2022,1890
48115,"Dawson, TX",50,"    Finance, insurance, real estate, rental, and leasing",41414,42010,39718,41967,41899,41298,38337,41499,39389,47202,50154,55230,51138,55136,54484,61025,57197,71994,66700,68606
48115,"Dawson, TX",51,      Finance and insurance,17293,17953,15155,14772,14327,13396,11679,11244,12815,14568,15676,15772,15581,14043,15095,17533,19679,19837,19487,20108
48115,"Dawson, TX",56,      Real estate and rental and leasing,24120,24058,24563,27195,27572,27901,26657,30255,26574,32634,34477,39458,35557,41093,39390,43491,37518,52156,47214,48498
48115,"Dawson, TX",59,    Professional and business services,7900,8069,7988,9245,4620,5849,6916,7033,7096,7631,8789,9307,19867,21393,20542,20541,22742,26032,29326,28645
48115,"Dawson, TX",60,"      Professional, scientific, and technical services",3716,3640,3384,3580,3764,4669,5693,5645,5507,5597,6302,6364,6365,6546,6715,6443,6239,7600,9309,8852
48115,"Dawson, TX",64,      Management of companies and enterprises,3659,3947,4021,4856,0,0,0,0,0,0,0,0,10603,11769,11535,11742,13742,15376,(D),(D)
48115,"Dawson, TX",65,      Administrative and support and waste management and remediation services,525,482,583,809,856,1180,1223,1388,1589,2035,2487,2942,2899,3078,2292,2356,2761,3056,(D),(D)
48115,"Dawson, TX",68,"    Educational services, health care, and social assistance",8508,8477,9617,8660,7221,6900,6800,7487,8275,9108,9479,8618,8449,8298,8553,8529,8455,10101,12514,11553
48115,"Dawson, TX",69,      Educational services,55,57,60,102,63,64,94,85,80,(D),(D),(D),(D),(D),(D),(D),(D),(D),556,492
48115,"Dawson, TX",70,      Health care and social assistance,8453,8420,9557,8558,7158,6836,6706,7402,8196,(D),(D),(D),(D),(D),(D),(D),(D),(D),11958,11061
48115,"Dawson, TX",75,"    Arts, entertainment, recreation, accommodation, and food services",5776,6000,5917,5880,5696,5901,6634,7603,8776,8552,8703,9346,9578,10086,10085,9755,10405,10762,11744,11580
48115,"Dawson, TX",76,"      Arts, entertainment, and recreation",(D),(D),(D),(D),276,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),396,349
48115,"Dawson, TX",79,      Accommodation and food services,(D),(D),(D),(D),5420,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),11348,11231
48115,"Dawson, TX",82,    Other services (except government and government enterprises),9935,10254,10120,10381,10468,10554,10142,9948,9763,9269,8761,9054,9243,9509,9772,9754,10074,10523,10857,10119
48115,"Dawson, TX",83,Government and government enterprises,65697,68584,68617,68815,71626,74495,78955,82316,86056,90072,88162,89791,94539,95604,98215,97682,96212,93600,95890,96617
48115,"Dawson, TX",,Addenda:,,,,,,,,,,,,,,,,,,,,
48115,"Dawson, TX",87,Natural resources and mining,206847,243891,293945,353964,433070,431444,626137,594605,381917,567725,478648,507741,671366,434788,200972,178806,308857,384517,277247,195055
48115,"Dawson, TX",88,Trade,28543,28422,32423,36059,35533,38384,39912,44038,48964,61721,71980,92005,102734,99648,89219,82967,80889,78207,77067,80813
48115,"Dawson, TX",89,Transportation and utilities,12807,12044,12206,14083,15312,17730,17107,19329,14067,16609,20749,21545,19738,22129,40027,43539,52038,57757,63216,63516
48115,"Dawson, TX",90,Manufacturing and information,9791,8428,8487,10152,10871,15207,14482,14070,10428,12042,12039,10864,11205,10122,8442,7139,8396,10884,12482,11438
48115,"Dawson, TX",91,Private goods-producing industries 2/,221242,256634,306484,368133,448811,456704,646121,616336,404250,590465,504429,532524,696208,460139,222604,195973,325378,402628,297196,214287
48115,"Dawson, TX",92,Private services-providing industries 3/,117346,117996,120981,128819,123298,129175,129255,140538,139431,162924,181041,207784,223653,228878,234939,237629,243347,267124,273446,276723
48165,"Gaines, TX",1,All industry total,1348998,1485142,1715010,2036415,2448856,2875227,3243971,3924801,2612775,3211561,3600638,3693159,3721397,3118599,1860940,1664748,2196655,2285641,2050552,1371974
48165,"Gaines, TX",2,  Private industries,1300339,1434269,1662024,1981938,2392183,2815240,3181464,3859838,2541632,3135152,3523571,3610304,3632300,3026558,1762631,1564778,2097241,2185094,1946742,1258616
48165,"Gaines, TX",3,"    Agriculture, forestry, fishing and hunting",100644,128501,149952,152878,155846,118214,92739,45536,61814,211533,34419,43242,266593,64432,101072,61509,173344,103942,151053,181712
