GeoFips,GeoName,LineCode,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
48021,"Bastrop, TX",1,All industry total,875326,998840,1049061,1097260,1196196,1361405,1471861,1490895,1567580,1542899,1678398,1731745,1771286,1877165,1991112,2024878,2192484,2372845,2529069,2657701
48021,"Bastrop, TX",2,  Private industries,694966,805082,838581,883884,978363,1137314,1225238,1226050,1281297,1249889,1396696,1457187,1486598,1588705,1687639,1703449,1856812,2024921,2166746,2272216
48021,"Bastrop, TX",3,"    Agriculture, forestry, fishing and hunting",2109,3456,9246,11751,6752,6605,4683,15648,17317,7283,7363,9327,6598,2790,14915,6563,4261,6504,4571,4477
48021,"Bastrop, TX",6,"    Mining, quarrying, and oil and gas extraction",8259,7681,6934,7383,29954,71968,75019,97783,53591,46137,46944,48484,50355,51692,43456,41203,48021,44372,39773,38769
48021,"Bastrop, TX",10,    Utilities,142542,201741,216523,213819,212914,276034,282890,244817,316430,269643,328124,317111,291909,308033,296518,263964,214040,(D),276242,323499
48021,"Bastrop, TX",11,    Construction,86270,81448,90062,95136,117470,103169,131562,135134,145452,140207,143095,163085,151776,156925,165503,175263,210330,258150,276040,280291
48021,"Bastrop, TX",12,    Manufacturing,53753,57646,61565,70672,79674,96405,108040,106039,97338,100629,104775,100057,115917,122887,139078,143880,168072,202310,187511,189857
48021,"Bastrop, TX",13,      Durable goods manufacturing,39619,43068,38498,42566,44911,50781,59250,62888,54588,57260,63440,65577,70747,77330,77835,70783,78588,80669,82420,79343
48021,"Bastrop, TX",25,      Nondurable goods manufacturing,14134,14578,23067,28106,34763,45624,48790,43151,42750,43369,41335,34480,45169,45557,61242,73097,89485,121642,105091,110514
48021,"Bastrop, TX",34,    Wholesale trade,15742,20322,16036,21139,26105,32815,33726,31484,28974,30055,30727,37512,37094,38101,39335,35789,35832,29316,33182,32219
48021,"Bastrop, TX",35,    Retail trade,90589,97877,98340,96316,105004,107549,110996,113955,123684,129691,131281,147568,162177,175383,188685,194182,203470,225954,244493,272874
48021,"Bastrop, TX",36,    Transportation and warehousing,16126,13724,14108,17278,19831,21435,(D),25175,21994,27011,36453,39593,35370,37951,42795,39757,40738,45144,58965,53781
48021,"Bastrop, TX",45,    Information,7342,6913,7999,8476,8197,9761,12134,14598,16312,17205,15316,14465,20409,26125,44457,89151,137979,(D),(D),(D)
48021,"Bastrop, TX",50,"    Finance, insurance, real estate, rental, and leasing",125947,149871,152662,166003,181118,190076,184760,178607,207630,209835,264124,273565,304178,324915,348530,338514,387533,402539,437771,500280
48021,"Bastrop, TX",51,      Finance and insurance,26247,29907,29741,29850,29306,30724,26382,27611,33968,36716,36655,38779,37941,41373,43994,52504,54220,60292,63435,62908
48021,"Bastrop, TX",56,      Real estate and rental and leasing,99700,119964,122921,136153,151812,159352,158377,150995,173662,173118,227469,234785,266237,283542,304535,286011,333312,342247,374336,437372
48021,"Bastrop, TX",59,    Professional and business services,41750,49642,44925,53351,62651,64954,(D),82175,67972,74121,76429,81671,78440,84591,87621,89329,108283,(D),(D),(D)
48021,"Bastrop, TX",60,"      Professional, scientific, and technical services",32022,38638,31313,36982,44454,46278,48963,57527,42109,44687,46813,51603,46092,50887,53370,51582,57640,60638,70802,73369
48021,"Bastrop, TX",64,      Management of companies and enterprises,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),14998,(D),(D),(D)
48021,"Bastrop, TX",65,      Administrative and support and waste management and remediation services,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),35646,41251,52648,54373
48021,"Bastrop, TX",68,"    Educational services, health care, and social assistance",33900,37453,38898,41741,40906,44564,46659,47728,53818,58969,61773,69397,73986,81537,86440,97577,103170,105210,114434,112781
48021,"Bastrop, TX",69,      Educational services,1810,1865,(D),(D),2143,2180,2277,2132,2178,2501,2494,3077,2948,3038,3290,4210,4360,5352,6236,5758
48021,"Bastrop, TX",70,      Health care and social assistance,32090,35588,(D),(D),38763,42384,44382,45596,51640,56468,59279,66320,71038,78500,83150,93368,98810,99858,108199,107023
48021,"Bastrop, TX",75,"    Arts, entertainment, recreation, accommodation, and food services",31651,32541,36891,37202,43306,63713,91178,86085,81442,87023,97816,99908,101244,114553,120290,116106,117010,126322,136202,110058
48021,"Bastrop, TX",76,"      Arts, entertainment, and recreation",8067,6944,6477,4831,5370,4961,4719,4732,5172,5929,5835,4929,5239,4962,3665,3252,3681,5574,7619,4595
48021,"Bastrop, TX",79,      Accommodation and food services,23584,25597,30414,32371,37935,58752,86458,81353,76269,81094,91981,94978,96006,109591,116625,112854,113329,120748,128583,105463
48021,"Bastrop, TX",82,    Other services (except government and government enterprises),38986,44765,44392,43618,44483,48266,49269,46823,49341,52079,52476,55445,57145,63222,70017,72171,78071,78806,82541,81498
48021,"Bastrop, TX",83,Government and government enterprises,180360,193758,210480,213376,217833,224091,246622,264845,286283,293010,281702,274558,284688,288460,303473,321428,335672,347924,362324,385486
48021,"Bastrop, TX",,Addenda:,,,,,,,,,,,,,,,,,,,,
48021,"Bastrop, TX",87,Natural resources and mining,10367,11137,16180,19134,36706,78572,79701,113431,70909,53420,54307,57811,56953,54482,58371,47765,52283,50876,44345,43246
