Region,Year,Use,Type,Type_Category,Source,Volume,First Decade Cost,Last Decade Cost,2022_Cost
K,2011,Mun,Infrastructure,Infrastructure,Infrastructure ,1100,963,,1329
K,2011,Mun,LCRA_contract,SW contract,SW,2780,138,,190
K,2011,Mun,LCRA_contract,SW contract,SW,1130,138,,190
K,2011,Mun,LCRA_contract,SW contract,SW,17,138,,190
K,2011,Mun,LCRA_contract,SW contract,SW,304,138,,190
K,2011,Mun,LCRA_contract,SW contract,SW,593,138,,190
K,2011,Mun,LCRA_contract,SW contract,SW,2482,138,,190
K,2011,Mun,LCRA_contract,SW contract,SW,366,138,,190
K,2011,Mun,LCRA_contract,SW contract,SW,240,138,,190
K,2011,Mun,LCRA_contract,SW contract,SW,1015,138,,190
K,2011,Mun,LCRA_contract,SW contract,SW,74,138,,190
K,2011,Mun,LCRA_contract,SW contract,SW,807,138,,190
K,2011,Mun,LCRA_contract,SW contract,SW,554,138,,190
K,2011,Mun,LCRA_contract,SW contract,SW,2041,138,,190
K,2011,Mun,LCRA_contract,SW contract,SW,1160,138,,190
K,2011,Mun,LCRA_contract,SW contract,SW,3034,138,,190
K,2011,Mun,LCRA_contract,SW contract,SW,995,138,,190
K,2011,Mun,LCRA_contract,SW contract,SW,528,138,,190
K,2011,Mun,LCRA_contract,SW contract,SW,373,138,,190
K,2011,Mun,LCRA_contract,SW contract,SW,2471,138,,190
K,2011,Mun,LCRA_contract,SW contract,SW,2222,138,,190
K,2011,Mun,Reuse,Reuse,Reuse,40468,851,,1174
K,2011,Mun,Reuse,Reuse,Reuse,5000,550,,759
K,2011,Manufacturing,Develop GW,Groundwater,GW,400,1657,,2286
K,2011,Liv,Develop GW,Groundwater,GW,62,4924,,6795
F,2011,Manufacturing,Direct_reuse ,Reuse,Reuse,350,,,0
K,2011,Min,Expand GW,Groundwater,GW,4298,324,,447
K,2011,Liv,Expand GW,Groundwater,GW,23,4038,,5572
K,2011,Min,Expand GW,Groundwater,GW,25,64,,88
K,2011,Min,Expand GW,Groundwater,GW,873,1698,,2343
K,2011,Liv,Expand GW,Groundwater,GW,14,3258,,4496
K,2011,Liv,Expand GW,Groundwater,GW,11,3152,,4350
K,2011,Min,Expand GW,Groundwater,GW,4269,9,,12
K,2011,Min,Expand GW,Groundwater,GW,3626,9,,12
K,2011,Min,Expand GW,Groundwater,GW,555,9,,12
K,2011,Irr,Expand GW,Groundwater,GW,20,37,,52
K,2011,Liv,Expand GW,Groundwater,GW,22,2867,,3956
K,2011,Manufacturing,Expand GW,Groundwater,GW,119,37,,52
K,2011,Liv,Expand GW,Groundwater,GW,56,4731,,6529
K,2011,Irr,Expand GW,Groundwater,GW,193,37,,52
F,2011,Min,Subordination,Subordination,SW,43,,,nan
F,2011,Irr,Subordination,Subordination,SW,1348,,,nan
F,2011,Manufacturing,Subordination,Subordination,SW,6,,,nan
F,2011,Min,Subordination,Subordination,SW,18,,,nan
F,2011,Manufacturing,Subordination,Subordination,SW,46,,,nan
F,2011,Manufacturing,Subordination,Subordination,SW,71,,,nan
F,2011,Min,Subordination,Subordination,SW,101,,,nan
F,2011,Manufacturing,Subordination,Subordination,SW,1000,,,nan
F,2011,Manufacturing,Subordination,Subordination,SW,70,,,nan
F,2011,Manufacturing,Subordination,Subordination,SW,12,,,nan
F,2011,Irr,Subordination,Subordination,SW,3066,,,nan
F,2011,Manufacturing,Subordination,Subordination,SW,2971,,,nan
O,2011,Mun,Conservation,Conservation,Conservation,38,614,,847
O,2011,Mun,Conservation,Conservation,Conservation,471,554,,765
O,2011,Mun,Conservation,Conservation,Conservation,802,541,,747
O,2011,Mun,Conservation,Conservation,Conservation,171,556,,767
O,2011,Mun,Conservation,Conservation,Conservation,107,546,,753
