Year,"COTTON, UPLAND - ACRES HARVESTED","SORGHUM, GRAIN - ACRES HARVESTED",PEANUTS - ACRES HARVESTED,"COTTON, UPLAND, IRRIGATED - ACRES HARVESTED","COTTON, UPLAND, NON-IRRIGATED - ACRES HARVESTED","CORN, GRAIN - ACRES HARVESTED","SORGHUM, GRAIN, IRRIGATED - ACRES HARVESTED","SORGHUM, GRAIN, NON-IRRIGATED - ACRES HARVESTED",SUNFLOWER - ACRES HARVESTED,WHEAT - ACRES HARVESTED,"WHEAT, IRRIGATED - ACRES HARVESTED","WHEAT, NON-IRRIGATED - ACRES HARVESTED","PEANUTS, IRRIGATED - ACRES HARVESTED"
1960,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,689300,67200,156500,478600,210700,0,3400,62900,6200,26000,13400,12600,120200
2001,665500,122000,133000,469000,196500,0,11500,110500,1100,58300,34300,24000,20000
2002,772000,176200,143800,435500,336500,0,11600,133000,1700,62900,49400,13500,28500
2003,815200,137800,147700,353700,461500,0,65500,72300,1900,73700,51300,22400,32900
2004,907100,82700,115700,452300,454800,3600,7700,52000,2100,73100,57700,15400,91400
2005,1037900,31800,141400,457100,580800,3300,5200,18500,4500,42300,28800,13500,99700
2006,696200,31000,81600,503300,192900,0,2700,13500,0,26600,16900,9700,0
2007,993500,78400,114400,448800,544700,0,32300,46100,600,74200,43900,20900,0
2008,416300,485100,159600,228400,145100,0,101200,275700,6400,0,0,0,0
2009,732000,200900,82000,422800,309200,0,20400,118700,0,0,0,0,0
2010,1089000,22300,90600,505000,584000,0,5800,8300,0,0,0,0,0
2011,384900,0,20900,0,0,0,0,0,0,0,0,0,0
2012,708300,49700,90850,196300,228700,0,0,0,0,0,0,0,0
2013,412300,165000,74700,118000,71800,0,28900,48900,0,0,0,0,0
2014,771100,60300,35800,239500,322600,7600,7300,13900,0,0,0,0,0
2015,932400,102500,0,264300,378900,19600,9200,14600,0,0,0,0,0
2016,987800,21900,69400,309000,461200,0,0,0,0,0,0,0,0
2017,845200,25300,93700,306700,378300,21600,0,0,0,0,0,0,0
2018,604400,0,20600,359600,91600,0,0,0,0,0,0,0,0
2019,760500,2100,69100,0,0,0,0,0,0,0,0,0,0
2020,301300,0,84860,0,0,0,0,0,0,0,0,0,0
2021,979400,63200,78370,0,0,0,0,0,0,0,0,0,0
