Program,Year,Period,Geo Level,State,Ag District,Ag District Code,County,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,COCHRAN,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,64000,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,COCHRAN,COTTON,"COTTON, UPLAND - ACRES PLANTED",TOTAL,NOT SPECIFIED,138500,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,COCHRAN,COTTON,"COTTON, UPLAND - PRODUCTION, MEASURED IN 480 LB BALES",TOTAL,NOT SPECIFIED,71300,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,COCHRAN,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,535,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,COCHRAN,SORGHUM,SORGHUM - ACRES PLANTED,TOTAL,NOT SPECIFIED,39600,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,COCHRAN,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,36300,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,COCHRAN,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,1601000,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,COCHRAN,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,44.1,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,DAWSON,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,289000,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,DAWSON,COTTON,"COTTON, UPLAND - ACRES PLANTED",TOTAL,NOT SPECIFIED,317000,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,DAWSON,COTTON,"COTTON, UPLAND - PRODUCTION, MEASURED IN 480 LB BALES",TOTAL,NOT SPECIFIED,355400,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,DAWSON,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,590,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,DAWSON,PEANUTS,PEANUTS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,6170,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,DAWSON,PEANUTS,PEANUTS - ACRES PLANTED,TOTAL,NOT SPECIFIED,7600,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,DAWSON,PEANUTS,"PEANUTS - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,20240000,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,DAWSON,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,3280,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,DAWSON,SORGHUM,SORGHUM - ACRES PLANTED,TOTAL,NOT SPECIFIED,17900,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,DAWSON,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,16500,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,DAWSON,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,558000,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,DAWSON,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,33.8,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,DAWSON,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",TOTAL,NOT SPECIFIED,2940,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,DAWSON,WHEAT,"WHEAT, WINTER - ACRES PLANTED",TOTAL,NOT SPECIFIED,11300,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,DAWSON,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,170000,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,DAWSON,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,57.8,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,GAINES,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,282000,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,GAINES,COTTON,"COTTON, UPLAND - ACRES PLANTED",TOTAL,NOT SPECIFIED,316000,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,GAINES,COTTON,"COTTON, UPLAND - PRODUCTION, MEASURED IN 480 LB BALES",TOTAL,NOT SPECIFIED,368100,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,GAINES,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,627,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,GAINES,PEANUTS,PEANUTS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,49100,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,GAINES,PEANUTS,PEANUTS - ACRES PLANTED,TOTAL,NOT SPECIFIED,54800,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,GAINES,PEANUTS,"PEANUTS - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,226320000,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,GAINES,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,4609,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,GAINES,SORGHUM,SORGHUM - ACRES PLANTED,TOTAL,NOT SPECIFIED,11300,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,GAINES,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,10400,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,GAINES,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,270000,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,GAINES,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,26,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,TERRY,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,242000,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,TERRY,COTTON,"COTTON, UPLAND - ACRES PLANTED",TOTAL,NOT SPECIFIED,271000,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,TERRY,COTTON,"COTTON, UPLAND - PRODUCTION, MEASURED IN 480 LB BALES",TOTAL,NOT SPECIFIED,294900,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,TERRY,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,585,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,YOAKUM,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,102400,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,YOAKUM,COTTON,"COTTON, UPLAND - ACRES PLANTED",TOTAL,NOT SPECIFIED,146000,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,YOAKUM,COTTON,"COTTON, UPLAND - PRODUCTION, MEASURED IN 480 LB BALES",TOTAL,NOT SPECIFIED,106600,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,YOAKUM,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,500,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,YOAKUM,PEANUTS,PEANUTS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,23100,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,YOAKUM,PEANUTS,PEANUTS - ACRES PLANTED,TOTAL,NOT SPECIFIED,25300,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,YOAKUM,PEANUTS,"PEANUTS - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,76760000,
SURVEY,2021,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,YOAKUM,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,3323,
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,COCHRAN,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,35200,
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,COCHRAN,COTTON,"COTTON, UPLAND - ACRES PLANTED",TOTAL,NOT SPECIFIED,151500,
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,COCHRAN,COTTON,"COTTON, UPLAND - PRODUCTION, MEASURED IN 480 LB BALES",TOTAL,NOT SPECIFIED,38500,
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,COCHRAN,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,525,
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,DAWSON,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,53100,
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,DAWSON,COTTON,"COTTON, UPLAND - ACRES PLANTED",TOTAL,NOT SPECIFIED,334000,
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTHERN HIGH PLAINS,12,DAWSON,COTTON,"COTTON, UPLAND - PRODUCTION, MEASURED IN 480 LB BALES",TOTAL,NOT SPECIFIED,82000,
