,0,1
0,1/1/2000,28.0
1,1/2/2000,28.0
2,1/3/2000,27.96875
3,1/4/2000,27.979166666666668
4,1/5/2000,28.0
5,1/6/2000,27.729166666666668
6,1/7/2000,29.489583333333332
7,1/8/2000,34.15625
8,1/9/2000,33.25
9,1/10/2000,31.354166666666668
10,1/11/2000,30.458333333333332
11,1/12/2000,30.0
12,1/13/2000,29.135416666666668
13,1/14/2000,29.0
14,1/15/2000,29.0
15,1/16/2000,29.0
16,1/17/2000,28.541666666666668
17,1/18/2000,28.125
18,1/19/2000,28.0
19,1/20/2000,28.572916666666668
20,1/21/2000,29.0
21,1/22/2000,29.0
22,1/23/2000,28.822916666666668
23,1/24/2000,28.0
24,1/25/2000,27.666666666666668
25,1/26/2000,27.15625
26,1/27/2000,28.395833333333332
27,1/28/2000,30.041666666666668
28,1/29/2000,29.177083333333332
29,1/30/2000,28.8125
30,1/31/2000,28.020833333333332
31,2/1/2000,28.0
32,2/2/2000,28.916666666666668
33,2/3/2000,29.0
34,2/4/2000,28.041666666666668
35,2/5/2000,28.0
36,2/6/2000,27.65625
37,2/7/2000,26.90625
38,2/8/2000,26.083333333333332
39,2/9/2000,26.083333333333332
40,2/10/2000,26.020833333333332
41,2/11/2000,26.0
42,2/12/2000,26.0
43,2/13/2000,26.0
44,2/14/2000,25.583333333333332
45,2/15/2000,25.0625
46,2/16/2000,25.0
47,2/17/2000,25.0
48,2/18/2000,24.989583333333332
49,2/19/2000,24.979166666666668
50,2/20/2000,25.0
51,2/21/2000,25.0
52,2/22/2000,24.75
53,2/23/2000,29.0625
54,2/24/2000,29.25
55,2/25/2000,26.854166666666668
56,2/26/2000,28.666666666666668
57,2/27/2000,29.010416666666668
58,2/28/2000,28.40625
59,2/29/2000,28.4375
60,3/1/2000,28.020833333333332
61,3/2/2000,28.260416666666668
62,3/3/2000,28.0
63,3/4/2000,28.0
64,3/5/2000,27.979166666666668
65,3/6/2000,27.489583333333332
66,3/7/2000,27.28125
67,3/8/2000,27.979166666666668
68,3/9/2000,28.1875
69,3/10/2000,26.96875
70,3/11/2000,27.104166666666668
71,3/12/2000,26.59375
72,3/13/2000,26.333333333333332
73,3/14/2000,26.802083333333332
74,3/15/2000,26.645833333333332
75,3/16/2000,26.15625
76,3/17/2000,28.197916666666668
77,3/18/2000,28.708333333333332
78,3/19/2000,28.145833333333332
79,3/20/2000,28.0
80,3/21/2000,27.989583333333332
81,3/22/2000,28.010416666666668
82,3/23/2000,27.489583333333332
83,3/24/2000,26.2890625
84,3/25/2000,26.0
85,3/26/2000,26.0
86,3/27/2000,26.0
87,3/28/2000,26.0
88,3/29/2000,26.166666666666668
89,3/30/2000,25.84375
90,3/31/2000,25.385416666666668
91,4/1/2000,25.0
92,4/2/2000,25.508064516129032
93,4/3/2000,30.25
94,4/4/2000,30.552083333333332
95,4/5/2000,29.322916666666668
96,4/6/2000,27.947916666666668
97,4/7/2000,27.479166666666668
98,4/8/2000,26.59375
99,4/9/2000,26.135416666666668
100,4/10/2000,25.90625
101,4/11/2000,25.770833333333332
102,4/12/2000,27.729166666666668
103,4/13/2000,27.979166666666668
104,4/14/2000,27.625
105,4/15/2000,26.625
106,4/16/2000,26.0
107,4/17/2000,25.96875
108,4/18/2000,26.21875
109,4/19/2000,25.020833333333332
