year,adjusted_val
1997,1.85
1998,1.82
1999,1.79
2000,1.72
2001,1.67
2002,1.65
2003,1.62
2004,1.56
2005,1.53
2006,1.46
2007,1.42
2008,1.36
2009,1.38
2010,1.36
2011,1.31
2012,1.29
2013,1.27
2014,1.25
2015,1.24
2016,1.23
2017,1.21
2018,1.18
2019,1.16
2020,1.15
2021,1.09
2022,1
